Date,HomeTeam,AwayTeam,Bookmaker,BookmakerKey,Market,Outcome,Point,DecimalOdds,ManualSource
2026-08-29,Coventry City,Hull City,MyBookie.ag,mybookie_manual,h2h,Hull City,,3.9,screenshot_2026-08-26
2026-08-29,Coventry City,Hull City,MyBookie.ag,mybookie_manual,spreads,Coventry City,-0.5,1.8403361345,screenshot_2026-08-26
2026-08-29,Coventry City,Hull City,MyBookie.ag,mybookie_manual,spreads,Hull City,0.5,1.8620689655,screenshot_2026-08-26
2026-08-29,Coventry City,Hull City,MyBookie.ag,mybookie_manual,totals,Over,2.5,1.7633587786,screenshot_2026-08-26
2026-08-29,Coventry City,Hull City,MyBookie.ag,mybookie_manual,totals,Under,2.5,1.9523809524,screenshot_2026-08-26
2026-08-29,Spurs,Newcastle,MyBookie.ag,mybookie_manual,h2h,Spurs,,2.17,screenshot_2026-08-26
2026-08-29,Spurs,Newcastle,MyBookie.ag,mybookie_manual,h2h,Draw,,3.48,screenshot_2026-08-26
2026-08-29,Spurs,Newcastle,MyBookie.ag,mybookie_manual,h2h,Newcastle,,3.0,screenshot_2026-08-26
2026-08-29,Spurs,Newcastle,MyBookie.ag,mybookie_manual,spreads,Spurs,-0.5,2.13,screenshot_2026-08-26
2026-08-29,Spurs,Newcastle,MyBookie.ag,mybookie_manual,spreads,Newcastle,0.5,1.641025641,screenshot_2026-08-26
2026-08-29,Spurs,Newcastle,MyBookie.ag,mybookie_manual,totals,Over,2.5,1.6329113924,screenshot_2026-08-26
2026-08-29,Spurs,Newcastle,MyBookie.ag,mybookie_manual,totals,Under,2.5,2.14,screenshot_2026-08-26
2026-08-30,Chelsea,Brighton,MyBookie.ag,mybookie_manual,h2h,Chelsea,,1.9174311927,screenshot_2026-08-26
2026-08-30,Chelsea,Brighton,MyBookie.ag,mybookie_manual,h2h,Draw,,3.6,screenshot_2026-08-26
2026-08-30,Chelsea,Brighton,MyBookie.ag,mybookie_manual,h2h,Brighton,,3.55,screenshot_2026-08-26
2026-08-30,Chelsea,Brighton,MyBookie.ag,mybookie_manual,spreads,Chelsea,-0.5,1.8928571429,screenshot_2026-08-26
2026-08-30,Chelsea,Brighton,MyBookie.ag,mybookie_manual,spreads,Brighton,0.5,1.8130081301,screenshot_2026-08-26
2026-08-30,Chelsea,Brighton,MyBookie.ag,mybookie_manual,totals,Over,2.5,1.6802721088,screenshot_2026-08-26
2026-08-30,Chelsea,Brighton,MyBookie.ag,mybookie_manual,totals,Under,2.5,2.06,screenshot_2026-08-26
2026-08-30,Sunderland,Fulham,MyBookie.ag,mybookie_manual,h2h,Sunderland,,2.44,screenshot_2026-08-26
2026-08-30,Sunderland,Fulham,MyBookie.ag,mybookie_manual,h2h,Draw,,3.2,screenshot_2026-08-26
2026-08-30,Sunderland,Fulham,MyBookie.ag,mybookie_manual,h2h,Fulham,,2.8,screenshot_2026-08-26
2026-08-30,Sunderland,Fulham,MyBookie.ag,mybookie_manual,spreads,Sunderland,-0.5,2.37,screenshot_2026-08-26
2026-08-30,Sunderland,Fulham,MyBookie.ag,mybookie_manual,spreads,Fulham,0.5,1.518134715,screenshot_2026-08-26
