Season,Date,HomeTeam,AwayTeam,Side,Team,Point,LineBucket,OddsSource,DecimalOdds,ModelWinProbability,ModelPushProbability,MarketNoVigProbability,ModelMinusMarketProbability,ModelExpectedReturn,Result,FlatBetReturn,PositiveModelEV
2021/22,2022-03-06,Watford,Arsenal,Away,Arsenal,-1.0,-0.5 to -1.0,Pinnacle Close,1.92,0.31465340800913505,0.23535555090013138,0.5114503816793893,-0.19679697367025423,-0.16050990572232943,PUSH,0.0,False
2021/22,2022-03-07,Tottenham,Everton,Home,Tottenham,-1.0,-0.5 to -1.0,Pinnacle Close,1.99,0.38777290882205273,0.23491976356931496,0.49234693877551017,-0.10457402995345744,0.006587852125199911,W,0.99,True
2021/22,2022-03-07,Tottenham,Everton,Away,Everton,1.0,+0.5 to +1.0,Pinnacle Close,1.93,0.37730732760863217,0.23491976356931496,0.5076530612244898,-0.13034573361585766,-0.03687709414602497,L,-1.0,False
2021/22,2022-03-10,Leeds,Aston Villa,Home,Leeds,0.0,near pick'em,Pinnacle Close,1.78,0.42435481705721106,0.2425270663323514,0.549367088607595,-0.1250122715503839,-0.002121359305812809,L,-1.0,False
2021/22,2022-03-10,Leeds,Aston Villa,Away,Aston Villa,-0.0,near pick'em,Pinnacle Close,2.17,0.33311811661043755,0.2425270663323514,0.450632911392405,-0.11751479478196747,-0.034606620622999074,W,1.17,False
2021/22,2022-03-10,Norwich,Chelsea,Home,Norwich,1.5,+1.5 or more,Pinnacle Close,2.1,0.4799761183306947,0.0,0.46700507614213205,0.012971042188562654,0.007949848494459011,L,-1.0,True
2021/22,2022-03-10,Norwich,Chelsea,Away,Chelsea,-1.5,-1.5 or more,Pinnacle Close,1.84,0.5200238816693055,0.0,0.5329949238578681,-0.012971042188562598,-0.043156057728477915,W,0.8400000000000001,False
2021/22,2022-03-10,Southampton,Newcastle,Home,Southampton,-0.5,-0.5 to -1.0,Pinnacle Close,1.92,0.5458795704183156,0.0,0.5114503816793893,0.03442918873892631,0.0480887752031659,L,-1.0,True
2021/22,2022-03-10,Southampton,Newcastle,Away,Newcastle,0.5,+0.5 to +1.0,Pinnacle Close,2.01,0.45412042958168414,0.0,0.4885496183206107,-0.034429188738926586,-0.08721793654081506,W,1.0099999999999998,False
2021/22,2022-03-12,Brighton,Liverpool,Home,Brighton,1.0,+0.5 to +1.0,Pinnacle Close,1.79,0.35965953237752146,0.24147706790406137,0.544529262086514,-0.18486972970899251,-0.1147323691401752,L,-1.0,False
2021/22,2022-03-12,Brighton,Liverpool,Away,Liverpool,-1.0,-0.5 to -1.0,Pinnacle Close,2.14,0.39886339971841694,0.24147706790406137,0.455470737913486,-0.05660733819506908,0.09504474330147372,W,1.1400000000000001,True
2021/22,2022-03-13,Arsenal,Leicester,Home,Arsenal,-1.0,-0.5 to -1.0,Pinnacle Close,1.97,0.3762205931602762,0.22489646532889063,0.49744897959183665,-0.12122838643156048,-0.033948966145365245,W,0.97,False
2021/22,2022-03-13,Arsenal,Leicester,Away,Leicester,1.0,+0.5 to +1.0,Pinnacle Close,1.95,0.398882941510833,0.22489646532889063,0.5025510204081632,-0.10366807889733026,0.0027182012750149864,L,-1.0,True
2021/22,2022-03-13,Chelsea,Newcastle,Home,Chelsea,-1.5,-1.5 or more,Pinnacle Close,1.95,0.5463876503118676,0.0,0.5025510204081632,0.043836629903704405,0.06545591810814189,L,-1.0,True
2021/22,2022-03-13,Chelsea,Newcastle,Away,Newcastle,1.5,+1.5 or more,Pinnacle Close,1.97,0.45361234968813224,0.0,0.49744897959183665,-0.043836629903704405,-0.10638367111437952,W,0.97,False
2021/22,2022-03-13,Leeds,Norwich,Home,Leeds,-1.0,-0.5 to -1.0,Pinnacle Close,2.04,0.37471569265748783,0.24323233890655369,0.4809160305343511,-0.10620033787686328,0.0076523519278289265,PUSH,0.0,True
2021/22,2022-03-13,Leeds,Norwich,Away,Norwich,1.0,+0.5 to +1.0,Pinnacle Close,1.89,0.38205196843595873,0.24323233890655369,0.5190839694656489,-0.1370320010296902,-0.03468944074948438,PUSH,0.0,False
2021/22,2022-03-13,Southampton,Watford,Home,Southampton,-1.0,-0.5 to -1.0,Pinnacle Close,1.88,0.3129882448674975,0.24077992119463512,0.5228426395939086,-0.20985439472641115,-0.1708021784544697,L,-1.0,False
2021/22,2022-03-13,Southampton,Watford,Away,Watford,1.0,+0.5 to +1.0,Pinnacle Close,2.06,0.44623183393786714,0.24077992119463512,0.47715736040609136,-0.030925526468224218,0.16001749910664143,W,1.06,True
2021/22,2022-03-14,Crystal Palace,Man City,Home,Crystal Palace,1.5,+1.5 or more,Pinnacle Close,1.92,0.6475919253288754,0.0,0.5114503816793893,0.13614154364948616,0.2433764966314408,W,0.9199999999999999,True
2021/22,2022-03-14,Crystal Palace,Man City,Away,Man City,-1.5,-1.5 or more,Pinnacle Close,2.01,0.3524080746711248,0.0,0.4885496183206107,-0.13614154364948594,-0.29165976991103926,L,-1.0,False
2021/22,2022-03-16,Arsenal,Liverpool,Home,Arsenal,0.5,+0.5 to +1.0,Pinnacle Close,1.85,0.42164623093392156,0.0,0.530456852791878,-0.10881062185795648,-0.2199544727722451,L,-1.0,False
2021/22,2022-03-16,Arsenal,Liverpool,Away,Liverpool,-0.5,-0.5 to -1.0,Pinnacle Close,2.09,0.5783537690660785,0.0,0.46954314720812185,0.10881062185795665,0.208759377348104,W,1.0899999999999999,True
2021/22,2022-04-02,Brighton,Norwich,Home,Brighton,-1.0,-0.5 to -1.0,Pinnacle Close,1.92,0.3843943747503123,0.26499811286119074,0.5102040816326531,-0.12580970688234078,0.0030353123817902783,L,-1.0,True
2021/22,2022-04-02,Brighton,Norwich,Away,Norwich,1.0,+0.5 to +1.0,Pinnacle Close,2.0,0.3506075123884972,0.26499811286119074,0.48979591836734687,-0.13918840597884968,-0.033786862361814884,W,1.0,False
2021/22,2022-04-02,Man United,Leicester,Home,Man United,-1.0,-0.5 to -1.0,Pinnacle Close,1.93,0.3694343167719297,0.21940635009928694,0.5089058524173028,-0.13947153564537307,-0.06758541853088873,L,-1.0,False
2021/22,2022-04-02,Man United,Leicester,Away,Leicester,1.0,+0.5 to +1.0,Pinnacle Close,2.0,0.41115933312878306,0.21940635009928694,0.49109414758269715,-0.0799348144539141,0.04172501635685305,W,1.0,True
2021/22,2022-04-02,Wolves,Aston Villa,Home,Wolves,0.0,near pick'em,Pinnacle Close,1.76,0.3881811236728036,0.295071783941084,0.5544303797468354,-0.1662492560740318,-0.021729438394781586,W,0.76,False
2021/22,2022-04-02,Wolves,Aston Villa,Away,Aston Villa,-0.0,near pick'em,Pinnacle Close,2.19,0.3167470923861125,0.295071783941084,0.44556962025316454,-0.12882252786705206,-0.011252083733329699,L,-1.0,False
2021/22,2022-04-03,Tottenham,Newcastle,Home,Tottenham,-1.0,-0.5 to -1.0,Pinnacle Close,1.97,0.45247981038003116,0.23696715427498521,0.49744897959183665,-0.04496916921180549,0.12835238072364658,W,0.97,True
2021/22,2022-04-03,Tottenham,Newcastle,Away,Newcastle,1.0,+0.5 to +1.0,Pinnacle Close,1.95,0.31055303534498363,0.23696715427498521,0.5025510204081632,-0.1919979850631796,-0.15745442680229665,L,-1.0,False
2021/22,2022-04-04,Crystal Palace,Arsenal,Home,Crystal Palace,0.5,+0.5 to +1.0,Pinnacle Close,1.86,0.6366303069084716,0.0,0.5267175572519084,0.10991274965656317,0.1841323708497572,W,0.8600000000000001,True
2021/22,2022-04-04,Crystal Palace,Arsenal,Away,Arsenal,-0.5,-0.5 to -1.0,Pinnacle Close,2.07,0.3633696930915285,0.0,0.47328244274809167,-0.10991274965656317,-0.24782473530053611,L,-1.0,False
2021/22,2022-04-06,Burnley,Everton,Home,Burnley,0.0,near pick'em,Pinnacle Close,2.19,0.39676412118069715,0.288686353542817,0.4483627204030227,-0.05159859922232557,0.15759977892854377,W,1.19,True
2021/22,2022-04-06,Burnley,Everton,Away,Everton,-0.0,near pick'em,Pinnacle Close,1.78,0.31454952527648566,0.288686353542817,0.5516372795969774,-0.23708775432049173,-0.15141549146503855,L,-1.0,False
2021/22,2022-04-09,Southampton,Chelsea,Home,Southampton,0.5,+0.5 to +1.0,Pinnacle Close,1.87,0.4572408643349765,0.0,0.5229591836734694,-0.06571831933849287,-0.1449595836935938,L,-1.0,False
2021/22,2022-04-09,Southampton,Chelsea,Away,Chelsea,-0.5,-0.5 to -1.0,Pinnacle Close,2.05,0.5427591356650234,0.0,0.4770408163265307,0.0657183193384927,0.1126562281132979,W,1.0499999999999998,True
2021/22,2022-04-09,Watford,Leeds,Home,Watford,0.0,near pick'em,Pinnacle Close,2.09,0.4061030491057377,0.23309229202972315,0.46954314720812185,-0.06344009810238416,0.08184766466071486,L,-1.0,True
2021/22,2022-04-09,Watford,Leeds,Away,Leeds,-0.0,near pick'em,Pinnacle Close,1.85,0.3608046588645392,0.23309229202972315,0.530456852791878,-0.16965219392733882,-0.09941908907087921,W,0.8500000000000001,False
2021/22,2022-04-10,Brentford,West Ham,Home,Brentford,0.0,near pick'em,Pinnacle Close,1.96,0.42640315962932424,0.25435705049889595,0.5,-0.07359684037067576,0.09010724337237147,W,0.96,True
2021/22,2022-04-10,Brentford,West Ham,Away,West Ham,-0.0,near pick'em,Pinnacle Close,1.96,0.31923978987177987,0.25435705049889595,0.5,-0.18076021012822013,-0.1199329613524156,L,-1.0,False
2021/22,2022-04-10,Man City,Liverpool,Home,Man City,-0.5,-0.5 to -1.0,Pinnacle Close,1.98,0.5131873137476148,0.0,0.4961832061068702,0.017004107640744615,0.016110881220277373,L,-1.0,True
2021/22,2022-04-10,Man City,Liverpool,Away,Liverpool,0.5,+0.5 to +1.0,Pinnacle Close,1.95,0.4868126862523847,0.0,0.5038167938931298,-0.017004107640745114,-0.0507152618078498,W,0.95,False
2021/22,2022-04-10,Norwich,Burnley,Home,Norwich,0.0,near pick'em,Pinnacle Close,1.88,0.2762704803121921,0.2792662473267159,0.5204081632653061,-0.24413768295311405,-0.20134524968636305,W,0.8799999999999999,False
2021/22,2022-04-10,Norwich,Burnley,Away,Burnley,-0.0,near pick'em,Pinnacle Close,2.04,0.44446327236109223,0.2792662473267159,0.47959183673469385,-0.03512856437360162,0.185971322943344,L,-1.0,True
2021/22,2022-04-16,Southampton,Arsenal,Home,Southampton,0.5,+0.5 to +1.0,Pinnacle Close,1.98,0.5133361013613623,0.0,0.49489795918367346,0.018438142177688854,0.01640548069549741,W,0.98,True
2021/22,2022-04-16,Southampton,Arsenal,Away,Arsenal,-0.5,-0.5 to -1.0,Pinnacle Close,1.94,0.4866638986386375,0.0,0.5051020408163266,-0.018438142177689076,-0.05587203664104318,L,-1.0,False
2021/22,2022-04-16,Tottenham,Brighton,Home,Tottenham,-1.0,-0.5 to -1.0,Pinnacle Close,1.88,0.3406029379776626,0.2459025787324595,0.5216284987277354,-0.1810255607500728,-0.11376389786953484,L,-1.0,False
2021/22,2022-04-16,Tottenham,Brighton,Away,Brighton,1.0,+0.5 to +1.0,Pinnacle Close,2.05,0.41349448328987815,0.2459025787324595,0.4783715012722647,-0.06487701798238654,0.0935662694767096,W,1.0499999999999998,True
2021/22,2022-04-16,Watford,Brentford,Home,Watford,0.0,near pick'em,Pinnacle Close,1.75,0.2792853357223041,0.2601822143832811,0.5569620253164557,-0.2776766895941516,-0.2510684481026868,L,-1.0,False
2021/22,2022-04-16,Watford,Brentford,Away,Brentford,-0.0,near pick'em,Pinnacle Close,2.2,0.46053244989441483,0.2601822143832811,0.4430379746835443,0.017494475210870553,0.2733536041509938,W,1.2000000000000002,True
2021/22,2022-04-19,Liverpool,Man United,Home,Liverpool,-1.5,-1.5 or more,Pinnacle Close,1.96,0.5793868637510989,0.0,0.5,0.07938686375109894,0.13559825295215389,W,0.96,True
2021/22,2022-04-19,Liverpool,Man United,Away,Man United,1.5,+1.5 or more,Pinnacle Close,1.96,0.42061313624890123,0.0,0.5,-0.07938686375109877,-0.17559825295215364,L,-1.0,False
2021/22,2022-04-20,Chelsea,Arsenal,Home,Chelsea,-0.5,-0.5 to -1.0,Pinnacle Close,1.96,0.5557966504891764,0.0,0.5,0.05579665048917637,0.08936143495878568,L,-1.0,True
2021/22,2022-04-20,Chelsea,Arsenal,Away,Arsenal,0.5,+0.5 to +1.0,Pinnacle Close,1.96,0.4442033495108238,0.0,0.5,-0.0557966504891762,-0.12936143495878544,W,0.96,False
2021/22,2022-04-20,Man City,Brighton,Home,Man City,-2.0,-1.5 or more,Pinnacle Close,1.85,0.30442687094198667,0.2298557757923255,0.5280612244897959,-0.2236343535478092,-0.20695451296499917,W,0.8500000000000001,False
2021/22,2022-04-20,Man City,Brighton,Away,Brighton,2.0,+1.5 or more,Pinnacle Close,2.07,0.46571735326568814,0.2298557757923255,0.47193877551020413,-0.006221422244515995,0.19389069705229994,L,-1.0,True
2021/22,2022-04-21,Burnley,Southampton,Home,Burnley,0.0,near pick'em,Pinnacle Close,1.88,0.3702704307970857,0.2521850062961174,0.5154639175257731,-0.14519348672868743,-0.05170658380536153,W,0.8799999999999999,False
2021/22,2022-04-21,Burnley,Southampton,Away,Southampton,-0.0,near pick'em,Pinnacle Close,2.0,0.37754456290679705,0.2521850062961174,0.4845360824742268,-0.10699151956742975,0.007274132109711506,L,-1.0,True
2021/22,2022-04-23,Brentford,Tottenham,Home,Brentford,0.5,+0.5 to +1.0,Pinnacle Close,1.96,0.6002359437836494,0.0,0.5,0.10023594378364942,0.17646244981595283,W,0.96,True
