GameweekRank,Date,KickoffUTC,FPLGameweek,HomeTeam,AwayTeam,MarketType,Selection,Line,Bookmaker,BookmakerKey,BookLastUpdate,QuoteCapturedAt,PriceSource,PriceTimestampUTC,PriceAgeMinutes,PriceFreshnessStatus,MyBookieOdds,ModelWinProbability,PushProbability,ModelFairOdds,MyBookieImpliedProbability,ProbabilityEdge,ExpectedReturnPerUnit,ExpectedProfitPer100,ValidationFactor,ValidationStatus,BetQualityScore,ProfitabilityScore,OverallRankScore,Grade,Lambda_Home_xG,Lambda_Away_xG,MostLikelyScore,ModelVersion
24,2026-10-10,2026-10-10T14:00:00+00:00,6,Chelsea,Bournemouth,Total,Over 3.5,3.5,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,2.04,0.4833982295193215,0.0,2.068687758733361,0.49019607843137253,-0.006797848912051041,-0.013867611780584044,-1.3867611780584044,0.86,Derived alternate total,43.39307941436387,0.0,24.796045379636492,PASS,1.9673349671036575,1.6261671135470963,1-1,V1.2
25,2026-10-10,2026-10-10T14:00:00+00:00,6,Sunderland,Brighton,Spread,Sunderland +0.5,0.5,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,1.53,0.600180947868851,0.0,1.6661641852358762,0.6535947712418301,-0.05341382337297906,-0.08172314976065792,-8.172314976065792,0.84,"Derived, live validation building",42.60904739344255,0.0,24.34802708196717,PASS,1.4041577697710648,1.5430447306007036,1-1,V1.2
26,2026-10-12,2026-10-12T19:00:00+00:00,6,Coventry City,Newcastle,Total,Over 2.5,2.5,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,1.65,0.543017035011861,0.0,1.8415628525874095,0.6060606060606061,-0.06304357104874503,-0.10402189223042929,-10.40218922304293,1.0,Calibrated O/U 2.5,42.150851750593056,0.0,24.086201000338885,PASS,1.3243734853700726,1.5609786516883826,1-1,V1.2
27,2026-10-10,2026-10-10T11:30:00+00:00,6,Arsenal,Leeds,Total,Over 2.5,2.5,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,1.69,0.5401777415079008,0.0,1.851242513637289,0.591715976331361,-0.051538234823460205,-0.08709961685164774,-8.709961685164775,1.0,Calibrated O/U 2.5,42.00888707539504,0.0,24.00507832879716,PASS,1.9909611581945903,0.8778019841215658,2-0,V1.2
28,2026-10-12,2026-10-12T19:00:00+00:00,6,Coventry City,Newcastle,Total,Under 2.5,2.5,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,2.11,0.4569829649881389,0.0,2.1882653766447406,0.47393364928909953,-0.01695068430096064,-0.03576594387502696,-3.576594387502696,1.0,Calibrated O/U 2.5,40.34010807127723,0.0,23.051490326444128,PASS,1.3243734853700726,1.5609786516883826,1-1,V1.2
29,2026-10-10,2026-10-10T14:00:00+00:00,6,Ipswich Town,Fulham,Spread,Ipswich Town +0.5,0.5,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,1.51,0.5339957583352888,0.0,1.8726740510401458,0.6622516556291391,-0.12825589729385034,-0.19366640491371395,-19.366640491371395,0.84,"Derived, live validation building",39.29978791676444,0.0,22.457021666722536,PASS,1.2756121150578648,1.7016459899608325,1-1,V1.2
30,2026-10-10,2026-10-10T14:00:00+00:00,6,Chelsea,Bournemouth,Total,Under 3.5,3.5,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,1.69,0.5166017704806783,0.0,1.9357270089677354,0.591715976331361,-0.07511420585068262,-0.1269430078876536,-12.69430078876536,0.86,Derived alternate total,38.73008852403392,0.0,22.131479156590807,PASS,1.9673349671036575,1.6261671135470963,1-1,V1.2
31,2026-10-10,2026-10-10T11:30:00+00:00,6,Arsenal,Leeds,Total,Under 2.5,2.5,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,2.04,0.4598222584920992,0.0,2.174753356393212,0.49019607843137253,-0.03037381993927335,-0.06196259267611759,-6.196259267611759,1.0,Calibrated O/U 2.5,37.991112924604955,0.0,21.709207385488543,PASS,1.9909611581945903,0.8778019841215658,2-0,V1.2
32,2026-10-10,2026-10-10T14:00:00+00:00,6,Sunderland,Brighton,Total,Under 2.5,2.5,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,1.86,0.446517580526283,0.0,2.2395534769792516,0.5376344086021505,-0.09111682807586752,-0.16947730022111362,-16.94773002211136,1.0,Calibrated O/U 2.5,37.32587902631415,0.0,21.32907372932237,PASS,1.4041577697710648,1.5430447306007036,1-1,V1.2
33,2026-10-10,2026-10-10T14:00:00+00:00,6,Ipswich Town,Fulham,Total,Under 2.5,2.5,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,2.01,0.4414958053159723,0.0,2.265027182499082,0.49751243781094534,-0.05601663249497302,-0.11259343131489574,-11.259343131489574,1.0,Calibrated O/U 2.5,37.07479026579862,0.0,21.18559443759921,PASS,1.2756121150578648,1.7016459899608325,1-1,V1.2
